Year,Week,Temperature
1996,1,-8.5
1996,2,-9.1
1996,3,-6.6
1996,4,-3.8
1996,5,-5.9
1996,6,-4.4
1996,7,0.9
1996,8,1.2
1996,9,0.7
1996,10,4.8
1996,11,4.9
1996,12,7.1
1996,13,10.7
1996,14,8.5
1996,15,10.9
1996,16,15.2
1996,17,16.2
1996,18,20.6
1996,19,19.7
1996,20,20.0
1996,21,26.9
1996,22,24.4
1996,23,25.6
1996,24,23.0
1996,25,24.9
1996,26,26.1
1996,27,23.2
1996,28,25.6
1996,29,22.7
1996,30,22.2
1996,31,20.3
1996,32,23.6
1996,33,18.2
1996,34,14.2
1996,35,16.0
1996,36,9.9
1996,37,10.6
1996,38,4.1
1996,39,3.2
1996,40,4.1
1996,41,3.1
1996,42,-0.0
1996,43,-2.5
1996,44,-4.5
1996,45,-8.4
1996,46,-8.3
1996,47,-8.9
1996,48,-6.7
1996,49,-8.8
1996,50,-13.4
1996,51,-9.4
1996,52,-10.6
1997,1,-10.8
1997,2,-7.6
1997,3,-5.8
1997,4,-4.9
1997,5,-7.1
1997,6,-4.5
1997,7,-1.5
1997,8,1.6
1997,9,0.7
1997,10,3.4
1997,11,3.6
1997,12,5.6
1997,13,11.8
1997,14,15.1
1997,15,14.3
1997,16,18.4
1997,17,19.0
1997,18,18.7
1997,19,22.2
1997,20,25.9
1997,21,23.9
1997,22,28.0
1997,23,20.3
1997,24,27.5
1997,25,26.2
1997,26,25.3
1997,27,25.7
1997,28,20.9
1997,29,23.5
1997,30,23.6
1997,31,24.5
1997,32,18.9
1997,33,16.6
1997,34,15.4
1997,35,16.2
1997,36,13.0
1997,37,9.1
1997,38,9.1
1997,39,6.1
1997,40,5.7
1997,41,0.2
1997,42,-1.0
1997,43,-3.0
1997,44,-6.8
1997,45,-4.9
1997,46,-6.3
1997,47,-7.9
1997,48,-9.3
1997,49,-12.3
1997,50,-10.7
1997,51,-10.7
1997,52,-11.4
1998,1,-9.7
1998,2,-8.0
1998,3,-4.1
1998,4,-6.4
1998,5,-4.9
1998,6,-4.0
1998,7,-6.0
1998,8,-0.4
1998,9,1.8
1998,10,8.7
1998,11,5.5
1998,12,8.7
1998,13,10.2
1998,14,10.0
1998,15,16.7
1998,16,17.9
1998,17,19.9
1998,18,18.2
1998,19,24.3
1998,20,20.1
1998,21,25.2
1998,22,29.3
1998,23,23.6
1998,24,24.8
1998,25,26.3
1998,26,24.9
1998,27,22.4
1998,28,25.0
1998,29,21.9
1998,30,23.8
1998,31,19.7
1998,32,23.1
1998,33,16.7
1998,34,15.8
1998,35,16.1
1998,36,9.9
1998,37,10.7
1998,38,10.7
1998,39,2.7
1998,40,4.1
1998,41,2.2
1998,42,1.3
1998,43,-4.6
1998,44,-6.5
1998,45,-4.4
1998,46,-6.2
1998,47,-7.4
1998,48,-8.1
1998,49,-10.8
1998,50,-9.3
1998,51,-9.4
1998,52,-11.2
1999,1,-5.7
1999,2,-7.8
1999,3,-10.2
1999,4,-5.4
1999,5,-7.3
1999,6,-2.3
1999,7,0.2
1999,8,-1.9
1999,9,3.6
1999,10,4.6
1999,11,7.6
1999,12,11.9
1999,13,9.8
1999,14,10.9
1999,15,12.7
1999,16,14.8
1999,17,18.2
1999,18,20.7
1999,19,22.1
1999,20,24.6
1999,21,24.1
1999,22,27.8
1999,23,25.0
1999,24,31.4
1999,25,27.3
1999,26,24.2
1999,27,23.4
1999,28,25.9
1999,29,23.6
1999,30,24.3
1999,31,22.5
1999,32,19.9
1999,33,16.6
1999,34,13.4
1999,35,13.6
1999,36,14.1
1999,37,10.7
1999,38,5.6
1999,39,6.3
1999,40,4.6
1999,41,-0.1
1999,42,0.0
1999,43,-2.0
1999,44,-6.1
1999,45,-4.7
1999,46,-5.6
1999,47,-5.7
1999,48,-6.6
1999,49,-12.1
1999,50,-11.7
1999,51,-8.9
1999,52,-8.8
2000,1,-8.3
2000,2,-1.0
2000,3,-6.7
2000,4,-4.4
2000,5,-3.4
2000,6,-2.5
2000,7,-2.7
2000,8,1.3
2000,9,0.2
2000,10,3.3
2000,11,5.0
2000,12,8.3
2000,13,14.9
2000,14,8.7
2000,15,15.9
2000,16,13.3
2000,17,17.4
2000,18,22.2
2000,19,21.7
2000,20,20.8
2000,21,22.6
2000,22,26.3
2000,23,24.1
2000,24,26.4
2000,25,26.2
2000,26,24.7
2000,27,29.9
2000,28,26.2
2000,29,20.0
2000,30,23.3
2000,31,20.3
2000,32,21.8
2000,33,16.8
2000,34,16.3
2000,35,15.5
2000,36,14.2
2000,37,7.9
2000,38,7.5
2000,39,5.0
2000,40,2.5
2000,41,5.3
2000,42,0.6
2000,43,-4.6
2000,44,-2.0
2000,45,-1.1
2000,46,-4.6
2000,47,-10.9
2000,48,-9.7
2000,49,-6.8
2000,50,-11.2
2000,51,-9.0
2000,52,-8.2
2001,1,-11.2
2001,2,-8.8
2001,3,-14.3
2001,4,-8.7
2001,5,-5.8
2001,6,-6.3
2001,7,1.2
2001,8,-3.1
2001,9,0.9
2001,10,4.1
2001,11,8.9
2001,12,5.3
2001,13,12.6
2001,14,12.5
2001,15,12.6
2001,16,17.4
2001,17,18.8
2001,18,18.9
2001,19,21.8
2001,20,22.2
2001,21,24.3
2001,22,26.3
2001,23,28.8
2001,24,23.5
2001,25,30.4
2001,26,22.1
2001,27,25.3
2001,28,26.2
2001,29,24.7
2001,30,21.7
2001,31,21.2
2001,32,19.1
2001,33,17.2
2001,34,18.2
2001,35,15.2
2001,36,11.1
2001,37,12.1
2001,38,8.8
2001,39,7.6
2001,40,5.1
2001,41,0.1
2001,42,-1.3
2001,43,-0.6
2001,44,-2.6
2001,45,-5.4
2001,46,-6.4
2001,47,-5.2
2001,48,-9.9
2001,49,-8.2
2001,50,-10.1
2001,51,-10.3
2001,52,-7.5
2002,1,-7.6
2002,2,-7.0
2002,3,-5.1
2002,4,-6.6
2002,5,-3.9
2002,6,-4.4
2002,7,-1.4
2002,8,-0.4
2002,9,2.0
2002,10,5.1
2002,11,4.4
2002,12,12.4
2002,13,8.3
2002,14,10.1
2002,15,16.9
2002,16,18.1
2002,17,19.7
2002,18,21.4
2002,19,21.6
2002,20,21.2
2002,21,24.3
2002,22,23.7
2002,23,27.6
2002,24,25.8
2002,25,24.5
2002,26,25.4
2002,27,26.5
2002,28,23.9
2002,29,22.5
2002,30,23.5
2002,31,22.1
2002,32,19.1
2002,33,17.5
2002,34,17.0
2002,35,11.7
2002,36,9.7
2002,37,8.9
2002,38,7.8
2002,39,6.6
2002,40,6.8
2002,41,3.5
2002,42,-0.5
2002,43,-2.1
2002,44,-5.8
2002,45,-5.3
2002,46,-7.2
2002,47,-7.1
2002,48,-10.3
2002,49,-8.3
2002,50,-6.6
2002,51,-10.0
2002,52,-8.9
2003,1,-7.9
2003,2,-9.4
2003,3,-7.3
2003,4,-6.6
2003,5,-5.1
2003,6,-5.3
2003,7,-2.0
2003,8,0.8
2003,9,4.7
2003,10,5.8
2003,11,10.3
2003,12,6.7
2003,13,12.1
2003,14,12.9
2003,15,19.0
2003,16,15.0
2003,17,16.8
2003,18,18.9
2003,19,17.4
2003,20,22.0
2003,21,22.6
2003,22,25.3
2003,23,26.4
2003,24,29.8
2003,25,28.1
2003,26,24.9
2003,27,23.9
2003,28,26.0
2003,29,21.5
2003,30,26.7
2003,31,24.0
2003,32,19.2
2003,33,15.0
2003,34,19.3
2003,35,14.4
2003,36,15.0
2003,37,7.2
2003,38,7.0
2003,39,6.1
2003,40,4.0
2003,41,0.9
2003,42,1.1
2003,43,-4.2
2003,44,-4.0
2003,45,-5.0
2003,46,-5.6
2003,47,-6.3
2003,48,-10.9
2003,49,-12.3
2003,50,-7.1
2003,51,-9.1
2003,52,-11.2
2004,1,-6.1
2004,2,-8.4
2004,3,-5.3
2004,4,-6.4
2004,5,-1.1
2004,6,-0.2
2004,7,-2.5
2004,8,1.8
2004,9,3.1
2004,10,6.7
2004,11,4.1
2004,12,9.6
2004,13,12.5
2004,14,9.0
2004,15,12.3
2004,16,12.5
2004,17,17.9
2004,18,21.6
2004,19,24.7
2004,20,23.2
2004,21,27.4
2004,22,22.3
2004,23,22.3
2004,24,26.0
2004,25,27.0
2004,26,26.0
2004,27,21.6
2004,28,24.9
2004,29,21.6
2004,30,24.4
2004,31,22.4
2004,32,18.3
2004,33,17.4
2004,34,14.5
2004,35,14.5
2004,36,14.5
2004,37,8.4
2004,38,9.2
2004,39,5.0
2004,40,2.3
2004,41,1.6
2004,42,-2.2
2004,43,-3.1
2004,44,-6.1
2004,45,-1.3
2004,46,-6.5
2004,47,-9.1
2004,48,-8.2
2004,49,-9.5
2004,50,-10.1
2004,51,-8.5
2004,52,-8.1
2005,1,-10.3
2005,2,-9.7
2005,3,-8.2
2005,4,-11.1
2005,5,-8.2
2005,6,-0.9
2005,7,1.3
2005,8,-0.6
2005,9,3.0
2005,10,4.6
2005,11,12.3
2005,12,10.5
2005,13,10.2
2005,14,10.7
2005,15,11.4
2005,16,17.0
2005,17,17.0
2005,18,17.4
2005,19,20.5
2005,20,20.9
2005,21,27.6
2005,22,26.9
2005,23,25.7
2005,24,29.1
2005,25,26.4
2005,26,24.4
2005,27,28.8
2005,28,26.2
2005,29,22.1
2005,30,22.7
