Hour,Pricing Location,Ontario Price,Energy Loss Price,Energy Congestion Price,Date,Timestamp
1,ONTARIO_ZONAL_PRICE,87.37,0.5,0.0,2026-02-03,2026-02-03 00:00:00
2,ONTARIO_ZONAL_PRICE,92.43,0.67,0.0,2026-02-03,2026-02-03 01:00:00
3,ONTARIO_ZONAL_PRICE,87.16,0.64,0.0,2026-02-03,2026-02-03 02:00:00
4,ONTARIO_ZONAL_PRICE,87.13,0.7,0.0,2026-02-03,2026-02-03 03:00:00
5,ONTARIO_ZONAL_PRICE,87.18,0.67,0.0,2026-02-03,2026-02-03 04:00:00
6,ONTARIO_ZONAL_PRICE,74.77,0.43,0.02,2026-02-03,2026-02-03 05:00:00
7,ONTARIO_ZONAL_PRICE,186.96,0.2,1.14,2026-02-03,2026-02-03 06:00:00
8,ONTARIO_ZONAL_PRICE,342.21,-0.05,2.78,2026-02-03,2026-02-03 07:00:00
9,ONTARIO_ZONAL_PRICE,363.52,0.07,3.16,2026-02-03,2026-02-03 08:00:00
10,ONTARIO_ZONAL_PRICE,247.8,-0.13,1.98,2026-02-03,2026-02-03 09:00:00
11,ONTARIO_ZONAL_PRICE,222.7,-0.04,-4.84,2026-02-03,2026-02-03 10:00:00
12,ONTARIO_ZONAL_PRICE,189.44,0.18,-2.36,2026-02-03,2026-02-03 11:00:00
13,ONTARIO_ZONAL_PRICE,206.88,0.2,-4.18,2026-02-03,2026-02-03 12:00:00
14,ONTARIO_ZONAL_PRICE,148.68,0.15,0.78,2026-02-03,2026-02-03 13:00:00
15,ONTARIO_ZONAL_PRICE,149.07,0.04,0.9,2026-02-03,2026-02-03 14:00:00
16,ONTARIO_ZONAL_PRICE,150.03,-0.15,0.92,2026-02-03,2026-02-03 15:00:00
17,ONTARIO_ZONAL_PRICE,244.17,-0.76,-6.75,2026-02-03,2026-02-03 16:00:00
18,ONTARIO_ZONAL_PRICE,350.39,-1.39,-12.18,2026-02-03,2026-02-03 17:00:00
19,ONTARIO_ZONAL_PRICE,358.27,-0.93,-12.5,2026-02-03,2026-02-03 18:00:00
20,ONTARIO_ZONAL_PRICE,350.88,-0.85,-12.18,2026-02-03,2026-02-03 19:00:00
21,ONTARIO_ZONAL_PRICE,245.82,-0.25,-3.38,2026-02-03,2026-02-03 20:00:00
22,ONTARIO_ZONAL_PRICE,238.65,0.28,-4.1,2026-02-03,2026-02-03 21:00:00
23,ONTARIO_ZONAL_PRICE,160.1,0.35,0.91,2026-02-03,2026-02-03 22:00:00
24,ONTARIO_ZONAL_PRICE,149.64,0.91,0.8,2026-02-03,2026-02-03 23:00:00
1,ONTARIO_ZONAL_PRICE,123.87,1.23,0.37,2026-02-04,2026-02-04 00:00:00
2,ONTARIO_ZONAL_PRICE,125.03,1.23,0.39,2026-02-04,2026-02-04 01:00:00
3,ONTARIO_ZONAL_PRICE,100.3,1.06,0.24,2026-02-04,2026-02-04 02:00:00
4,ONTARIO_ZONAL_PRICE,107.81,1.13,0.28,2026-02-04,2026-02-04 03:00:00
5,ONTARIO_ZONAL_PRICE,116.47,1.15,0.32,2026-02-04,2026-02-04 04:00:00
6,ONTARIO_ZONAL_PRICE,126.45,1.04,0.41,2026-02-04,2026-02-04 05:00:00
7,ONTARIO_ZONAL_PRICE,214.39,0.76,0.9,2026-02-04,2026-02-04 06:00:00
8,ONTARIO_ZONAL_PRICE,287.42,-0.23,1.38,2026-02-04,2026-02-04 07:00:00
9,ONTARIO_ZONAL_PRICE,300.61,-0.59,-2.7,2026-02-04,2026-02-04 08:00:00
10,ONTARIO_ZONAL_PRICE,211.98,-0.45,1.04,2026-02-04,2026-02-04 09:00:00
11,ONTARIO_ZONAL_PRICE,157.91,-0.22,0.72,2026-02-04,2026-02-04 10:00:00
12,ONTARIO_ZONAL_PRICE,131.77,0.06,0.58,2026-02-04,2026-02-04 11:00:00
13,ONTARIO_ZONAL_PRICE,131.92,0.13,0.57,2026-02-04,2026-02-04 12:00:00
14,ONTARIO_ZONAL_PRICE,131.67,0.24,0.57,2026-02-04,2026-02-04 13:00:00
15,ONTARIO_ZONAL_PRICE,146.07,0.27,-0.75,2026-02-04,2026-02-04 14:00:00
16,ONTARIO_ZONAL_PRICE,193.17,0.1,-5.18,2026-02-04,2026-02-04 15:00:00
17,ONTARIO_ZONAL_PRICE,229.76,-0.64,-4.36,2026-02-04,2026-02-04 16:00:00
18,ONTARIO_ZONAL_PRICE,304.86,-1.3,-11.23,2026-02-04,2026-02-04 17:00:00
19,ONTARIO_ZONAL_PRICE,277.09,-1.21,-5.99,2026-02-04,2026-02-04 18:00:00
20,ONTARIO_ZONAL_PRICE,261.73,-0.86,-7.14,2026-02-04,2026-02-04 19:00:00
21,ONTARIO_ZONAL_PRICE,214.2,-0.58,-2.83,2026-02-04,2026-02-04 20:00:00
22,ONTARIO_ZONAL_PRICE,214.02,0.12,-2.84,2026-02-04,2026-02-04 21:00:00
23,ONTARIO_ZONAL_PRICE,218.7,0.68,-0.69,2026-02-04,2026-02-04 22:00:00
24,ONTARIO_ZONAL_PRICE,211.17,0.9,0.91,2026-02-04,2026-02-04 23:00:00
1,ONTARIO_ZONAL_PRICE,162.23,1.14,1.08,2026-02-05,2026-02-05 00:00:00
2,ONTARIO_ZONAL_PRICE,136.81,0.99,0.82,2026-02-05,2026-02-05 01:00:00
3,ONTARIO_ZONAL_PRICE,122.98,0.93,0.68,2026-02-05,2026-02-05 02:00:00
4,ONTARIO_ZONAL_PRICE,123.05,0.89,0.67,2026-02-05,2026-02-05 03:00:00
5,ONTARIO_ZONAL_PRICE,138.59,0.78,0.81,2026-02-05,2026-02-05 04:00:00
6,ONTARIO_ZONAL_PRICE,173.8,0.73,1.22,2026-02-05,2026-02-05 05:00:00
7,ONTARIO_ZONAL_PRICE,272.19,-0.71,-6.86,2026-02-05,2026-02-05 06:00:00
8,ONTARIO_ZONAL_PRICE,333.78,-1.71,-18.11,2026-02-05,2026-02-05 07:00:00
9,ONTARIO_ZONAL_PRICE,329.45,-1.77,-18.6,2026-02-05,2026-02-05 08:00:00
10,ONTARIO_ZONAL_PRICE,313.97,-1.48,-17.25,2026-02-05,2026-02-05 09:00:00
11,ONTARIO_ZONAL_PRICE,220.42,-0.9,-5.72,2026-02-05,2026-02-05 10:00:00
12,ONTARIO_ZONAL_PRICE,222.14,-0.45,-7.39,2026-02-05,2026-02-05 11:00:00
13,ONTARIO_ZONAL_PRICE,213.74,-0.26,-6.46,2026-02-05,2026-02-05 12:00:00
14,ONTARIO_ZONAL_PRICE,108.87,-0.07,0.75,2026-02-05,2026-02-05 13:00:00
15,ONTARIO_ZONAL_PRICE,87.14,-0.02,0.49,2026-02-05,2026-02-05 14:00:00
16,ONTARIO_ZONAL_PRICE,89.16,-0.06,0.51,2026-02-05,2026-02-05 15:00:00
17,ONTARIO_ZONAL_PRICE,218.18,-0.71,-7.01,2026-02-05,2026-02-05 16:00:00
18,ONTARIO_ZONAL_PRICE,282.59,-1.78,-17.41,2026-02-05,2026-02-05 17:00:00
19,ONTARIO_ZONAL_PRICE,324.7,-1.97,-21.75,2026-02-05,2026-02-05 18:00:00
20,ONTARIO_ZONAL_PRICE,266.07,-1.71,-12.81,2026-02-05,2026-02-05 19:00:00
21,ONTARIO_ZONAL_PRICE,264.04,-1.33,-11.17,2026-02-05,2026-02-05 20:00:00
22,ONTARIO_ZONAL_PRICE,224.2,-0.35,-9.78,2026-02-05,2026-02-05 21:00:00
23,ONTARIO_ZONAL_PRICE,214.63,0.39,-11.21,2026-02-05,2026-02-05 22:00:00
24,ONTARIO_ZONAL_PRICE,143.36,0.46,-0.65,2026-02-05,2026-02-05 23:00:00
1,ONTARIO_ZONAL_PRICE,127.43,0.93,0.67,2026-02-06,2026-02-06 00:00:00
2,ONTARIO_ZONAL_PRICE,108.33,0.85,0.48,2026-02-06,2026-02-06 01:00:00
3,ONTARIO_ZONAL_PRICE,102.24,0.83,0.41,2026-02-06,2026-02-06 02:00:00
4,ONTARIO_ZONAL_PRICE,79.94,0.66,0.19,2026-02-06,2026-02-06 03:00:00
5,ONTARIO_ZONAL_PRICE,79.8,0.58,0.18,2026-02-06,2026-02-06 04:00:00
6,ONTARIO_ZONAL_PRICE,83.3,0.4,0.28,2026-02-06,2026-02-06 05:00:00
7,ONTARIO_ZONAL_PRICE,245.28,0.58,-17.63,2026-02-06,2026-02-06 06:00:00
8,ONTARIO_ZONAL_PRICE,319.56,-0.71,-19.22,2026-02-06,2026-02-06 07:00:00
9,ONTARIO_ZONAL_PRICE,255.8,-0.76,-20.07,2026-02-06,2026-02-06 08:00:00
10,ONTARIO_ZONAL_PRICE,231.8,-1.17,-24.93,2026-02-06,2026-02-06 09:00:00
11,ONTARIO_ZONAL_PRICE,275.55,-1.18,-27.77,2026-02-06,2026-02-06 10:00:00
12,ONTARIO_ZONAL_PRICE,280.28,-1.2,-27.11,2026-02-06,2026-02-06 11:00:00
13,ONTARIO_ZONAL_PRICE,216.4,-0.95,-20.37,2026-02-06,2026-02-06 12:00:00
14,ONTARIO_ZONAL_PRICE,192.16,-1.1,-16.95,2026-02-06,2026-02-06 13:00:00
15,ONTARIO_ZONAL_PRICE,190.2,-0.96,-15.82,2026-02-06,2026-02-06 14:00:00
16,ONTARIO_ZONAL_PRICE,216.75,-0.94,-20.36,2026-02-06,2026-02-06 15:00:00
17,ONTARIO_ZONAL_PRICE,211.85,-0.55,-20.75,2026-02-06,2026-02-06 16:00:00
18,ONTARIO_ZONAL_PRICE,250.81,-0.8,-25.02,2026-02-06,2026-02-06 17:00:00
19,ONTARIO_ZONAL_PRICE,245.47,-0.84,-21.51,2026-02-06,2026-02-06 18:00:00
20,ONTARIO_ZONAL_PRICE,221.29,-0.42,-48.02,2026-02-06,2026-02-06 19:00:00
21,ONTARIO_ZONAL_PRICE,219.45,-0.1,-57.07,2026-02-06,2026-02-06 20:00:00
22,ONTARIO_ZONAL_PRICE,259.93,0.35,-82.96,2026-02-06,2026-02-06 21:00:00
23,ONTARIO_ZONAL_PRICE,136.25,0.61,-36.03,2026-02-06,2026-02-06 22:00:00
24,ONTARIO_ZONAL_PRICE,97.0,0.65,-18.72,2026-02-06,2026-02-06 23:00:00
1,ONTARIO_ZONAL_PRICE,99.23,0.76,-18.53,2026-02-07,2026-02-07 00:00:00
2,ONTARIO_ZONAL_PRICE,91.1,0.65,-10.55,2026-02-07,2026-02-07 01:00:00
3,ONTARIO_ZONAL_PRICE,84.99,0.58,-6.49,2026-02-07,2026-02-07 02:00:00
4,ONTARIO_ZONAL_PRICE,80.55,0.5,-1.81,2026-02-07,2026-02-07 03:00:00
5,ONTARIO_ZONAL_PRICE,83.27,0.46,-1.7,2026-02-07,2026-02-07 04:00:00
6,ONTARIO_ZONAL_PRICE,81.63,0.49,-4.85,2026-02-07,2026-02-07 05:00:00
7,ONTARIO_ZONAL_PRICE,83.4,0.31,0.37,2026-02-07,2026-02-07 06:00:00
8,ONTARIO_ZONAL_PRICE,126.11,0.35,0.76,2026-02-07,2026-02-07 07:00:00
9,ONTARIO_ZONAL_PRICE,167.35,0.17,1.17,2026-02-07,2026-02-07 08:00:00
10,ONTARIO_ZONAL_PRICE,150.49,-0.1,0.59,2026-02-07,2026-02-07 09:00:00
11,ONTARIO_ZONAL_PRICE,219.46,-0.02,-5.74,2026-02-07,2026-02-07 10:00:00
12,ONTARIO_ZONAL_PRICE,147.35,-0.11,1.06,2026-02-07,2026-02-07 11:00:00
13,ONTARIO_ZONAL_PRICE,144.45,-0.12,-21.43,2026-02-07,2026-02-07 12:00:00
14,ONTARIO_ZONAL_PRICE,124.71,-0.13,0.87,2026-02-07,2026-02-07 13:00:00
15,ONTARIO_ZONAL_PRICE,121.48,-0.06,0.83,2026-02-07,2026-02-07 14:00:00
16,ONTARIO_ZONAL_PRICE,150.87,-0.24,1.11,2026-02-07,2026-02-07 15:00:00
17,ONTARIO_ZONAL_PRICE,275.06,-0.77,-4.39,2026-02-07,2026-02-07 16:00:00
18,ONTARIO_ZONAL_PRICE,391.72,-1.53,-6.76,2026-02-07,2026-02-07 17:00:00
19,ONTARIO_ZONAL_PRICE,441.72,-2.09,-23.48,2026-02-07,2026-02-07 18:00:00
20,ONTARIO_ZONAL_PRICE,353.94,-1.49,2.81,2026-02-07,2026-02-07 19:00:00
21,ONTARIO_ZONAL_PRICE,340.64,-1.27,-9.67,2026-02-07,2026-02-07 20:00:00
22,ONTARIO_ZONAL_PRICE,263.12,-0.85,-2.77,2026-02-07,2026-02-07 21:00:00
23,ONTARIO_ZONAL_PRICE,261.02,-0.43,-5.01,2026-02-07,2026-02-07 22:00:00
24,ONTARIO_ZONAL_PRICE,245.62,0.44,0.92,2026-02-07,2026-02-07 23:00:00
1,ONTARIO_ZONAL_PRICE,208.49,0.81,-0.32,2026-02-08,2026-02-08 00:00:00
2,ONTARIO_ZONAL_PRICE,201.43,1.11,-4.68,2026-02-08,2026-02-08 01:00:00
3,ONTARIO_ZONAL_PRICE,193.71,1.11,-4.39,2026-02-08,2026-02-08 02:00:00
4,ONTARIO_ZONAL_PRICE,194.09,1.1,-4.54,2026-02-08,2026-02-08 03:00:00
5,ONTARIO_ZONAL_PRICE,217.78,0.74,-7.33,2026-02-08,2026-02-08 04:00:00
6,ONTARIO_ZONAL_PRICE,219.55,0.49,-4.19,2026-02-08,2026-02-08 05:00:00
7,ONTARIO_ZONAL_PRICE,221.31,0.1,-29.89,2026-02-08,2026-02-08 06:00:00
8,ONTARIO_ZONAL_PRICE,318.12,-1.14,-5.74,2026-02-08,2026-02-08 07:00:00
9,ONTARIO_ZONAL_PRICE,322.19,-1.32,-17.37,2026-02-08,2026-02-08 08:00:00
10,ONTARIO_ZONAL_PRICE,253.44,-1.16,-13.65,2026-02-08,2026-02-08 09:00:00
11,ONTARIO_ZONAL_PRICE,209.27,-1.04,-9.75,2026-02-08,2026-02-08 10:00:00
12,ONTARIO_ZONAL_PRICE,150.87,-0.7,-4.42,2026-02-08,2026-02-08 11:00:00
13,ONTARIO_ZONAL_PRICE,87.6,-0.34,0.4,2026-02-08,2026-02-08 12:00:00
14,ONTARIO_ZONAL_PRICE,82.63,-0.34,0.35,2026-02-08,2026-02-08 13:00:00
15,ONTARIO_ZONAL_PRICE,74.74,-0.33,0.25,2026-02-08,2026-02-08 14:00:00
16,ONTARIO_ZONAL_PRICE,89.37,-0.43,0.4,2026-02-08,2026-02-08 15:00:00
17,ONTARIO_ZONAL_PRICE,247.15,-1.96,-9.97,2026-02-08,2026-02-08 16:00:00
18,ONTARIO_ZONAL_PRICE,432.18,-3.76,-29.78,2026-02-08,2026-02-08 17:00:00
19,ONTARIO_ZONAL_PRICE,447.1,-4.41,-26.35,2026-02-08,2026-02-08 18:00:00
20,ONTARIO_ZONAL_PRICE,341.06,-3.04,-17.31,2026-02-08,2026-02-08 19:00:00
21,ONTARIO_ZONAL_PRICE,335.45,-2.77,-17.73,2026-02-08,2026-02-08 20:00:00
22,ONTARIO_ZONAL_PRICE,216.71,-1.14,-7.25,2026-02-08,2026-02-08 21:00:00
23,ONTARIO_ZONAL_PRICE,157.2,-0.54,-2.34,2026-02-08,2026-02-08 22:00:00
24,ONTARIO_ZONAL_PRICE,190.43,-0.33,-6.5,2026-02-08,2026-02-08 23:00:00
1,ONTARIO_ZONAL_PRICE,200.45,0.31,0.0,2026-02-09,2026-02-09 00:00:00
2,ONTARIO_ZONAL_PRICE,152.51,0.41,0.0,2026-02-09,2026-02-09 01:00:00
3,ONTARIO_ZONAL_PRICE,142.04,0.56,0.0,2026-02-09,2026-02-09 02:00:00
4,ONTARIO_ZONAL_PRICE,165.94,0.67,0.0,2026-02-09,2026-02-09 03:00:00
5,ONTARIO_ZONAL_PRICE,222.56,0.8,0.0,2026-02-09,2026-02-09 04:00:00
6,ONTARIO_ZONAL_PRICE,275.13,-0.15,0.0,2026-02-09,2026-02-09 05:00:00
